OBJECTID,Boro,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID
1,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Back of the Comfort Station,40.5173,-74.191,931144.2689,127800.8599,Outdoor,,Staten Island,GuestWiFi
2,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Southwestern corner of the South Parking Lot,40.517,-74.1903,931338.6596,127691.1397,Outdoor,,Staten Island,GuestWiFi
3,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Near the Chester Avenue Entrance to the South Parking Lot,40.5182,-74.1898,931478.6275,128128.025,Outdoor,,Staten Island,GuestWiFi
4,SI,Limited Free,TimeWarner,Wolfe's Pond Park,Beach Side of the South Parking Lot,40.5171,-74.1898,931477.7594,127727.2705,Outdoor,,Staten Island,GuestWiFi
5,SI,Limited Free,TimeWarner,Wolfe's Pond Park,North Parking Lot,40.5192,-74.1882,931924.2684,128491.3874,Outdoor,,Staten Island,GuestWiFi
6,SI,Limited Free,TimeWarner,Blood Root Valley,Front of building,40.59195,-74.13922,945584.4149,154970.486,Outdoor,,Staten Island,GuestWiFi
7,SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.5919,-74.1392,945589.9405,154952.261,Outdoor,,Staten Island,GuestWiFi
8,SI,Limited Free,TimeWarner,Blood Root Valley,First Floor,40.5919,-74.1385,945784.3515,154951.9529,Outdoor,,Staten Island,GuestWiFi
9,SI,Limited Free,TimeWarner,Blood Root Valley,Second Floor,40.59203,-74.13812,945889.9638,154999.1487,Outdoor,,Staten Island,GuestWiFi
10,SI,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.592,-74.1381,945895.5012,154988.2101,Outdoor,,Staten Island,GuestWiFi
11,SI,Limited Free,TimeWarner,Barrett Park,Near Main Entrance,40.6261,-74.1147,952410.644,167402.3365,Outdoor,,Staten Island,GuestWiFi
12,SI,Limited Free,TimeWarner,Barrett Park,Benches at Southeast corner in the park,40.6247,-74.1144,952493.2541,166892.1709,Outdoor,,Staten Island,GuestWiFi
13,SI,Limited Free,TimeWarner,Barrett Park,"Southeast Corner of the Park, in front of YMCA",40.6247,-74.1142,952548.773,166892.0987,Outdoor,,Staten Island,GuestWiFi
14,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building South Hallway,40.61798,-74.108215,954207.1473,164441.7178,Outdoor,,Staten Island,GuestWiFi
15,SI,Limited Free,TimeWarner,Clove Lakes Park,Near Lakehouse Restaurant,40.618,-74.1082,954211.3206,164448.9992,Outdoor,,Staten Island,GuestWiFi
16,SI,Free,AT&T,Clove Lakes Park,Near Baseball Field,40.6182,-74.1072,954489.0316,164521.523,Outdoor,,Staten Island,attwifi
17,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Lobby,40.618977,-74.10717,954497.7065,164804.5943,Outdoor,,Staten Island,GuestWiFi
18,SI,Limited Free,TimeWarner,Clove Lakes Park,Lakehouse Restaurant,40.6194,-74.1071,954517.3282,164958.6803,Outdoor,,Staten Island,GuestWiFi
19,SI,Limited Free,TimeWarner,Clove Lakes Park,Park Building Main Hallway,40.619,-74.107,954544.9118,164812.9158,Outdoor,,Staten Island,GuestWiFi
20,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6455,-74.1034,955555.7313,174466.3699,Outdoor,,Staten Island,GuestWiFi
21,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6454,-74.1029,955694.4419,174429.7739,Outdoor,,Staten Island,GuestWiFi
22,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6453,-74.1023,955860.9042,174393.146,Outdoor,,Staten Island,GuestWiFi
23,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6451,-74.1017,956027.3245,174320.0868,Outdoor,,Staten Island,GuestWiFi
24,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6449,-74.1011,956193.7457,174247.0289,Outdoor,,Staten Island,GuestWiFi
25,SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6447,-74.1003,956415.6702,174173.9079,Outdoor,,Staten Island,GuestWiFi
26,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Greeley Avenue Baseball Diamond,40.5684,-74.0908,959023.2069,146372.9826,Outdoor,,Staten Island,GuestWiFi
27,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Midland Beach Veterans Memorial,40.5694,-74.0895,959384.7554,146736.9353,Outdoor,,Staten Island,GuestWiFi
28,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Midland Avenue Baseball Diamond,40.5702,-74.0885,959662.874,147028.1125,Outdoor,,Staten Island,GuestWiFi
29,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Mapleton Avenue Baseball Diamond,40.5713,-74.0873,959996.6581,147428.5349,Outdoor,,Staten Island,GuestWiFi
30,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near the Hunter Avenue Parking Lot,40.5723,-74.086,960358.1764,147792.502,Outdoor,,Staten Island,GuestWiFi
31,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Jefferson Avenue,40.5733,-74.0844,960803.0262,148156.3944,Outdoor,,Staten Island,GuestWiFi
32,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5747,-74.0817,961553.5828,148665.7375,Outdoor,,Staten Island,GuestWiFi
33,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5757,-74.0807,961831.7203,149029.8047,Outdoor,,Staten Island,GuestWiFi
34,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Boardwalk Near the Soccer Field,40.5757,-74.0807,961831.7203,149029.8047,Outdoor,,Staten Island,GuestWiFi
35,BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5765,-74.0796,962137.5626,149320.9849,Outdoor,,Brooklyn,GuestWiFi
36,SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Naughton Avenue,40.5771,-74.0786,962415.5532,149539.3286,Outdoor,,Staten Island,GuestWiFi
